,Coefficient,exp_variance,mae
AdultWeekday,19.996386811040395,0.9355961056608291,5.186934999761411
clusters,2.6615096279187074,0.9355961056608291,5.186934999761411
vertical_drop,2.188858975859362,0.9355961056608291,5.186934999761411
triple,1.4521592042713773,0.9355961056608291,5.186934999761411
surface,1.2530311712817623,0.9355961056608291,5.186934999761411
quad,1.1929739573027778,0.9355961056608291,5.186934999761411
daysOpenLastYear,1.1643529811450908,0.9355961056608291,5.186934999761411
Runs,1.147093933329054,0.9355961056608291,5.186934999761411
SkiableTerrain_ac,0.9413229774000149,0.9355961056608291,5.186934999761411
fastQuads,0.8446568984480617,0.9355961056608291,5.186934999761411
averageSnowfall,0.7380194572019172,0.9355961056608291,5.186934999761411
total_chairs,0.6700112705641259,0.9355961056608291,5.186934999761411
projectedDaysOpen,0.6331456180310487,0.9355961056608291,5.186934999761411
fastSixes,0.5384902295354388,0.9355961056608291,5.186934999761411
Snow Making_ac,0.5276445381104742,0.9355961056608291,5.186934999761411
NightSkiing_ac,0.45194304371886157,0.9355961056608291,5.186934999761411
LongestRun_mi,0.40097586877501656,0.9355961056608291,5.186934999761411
TerrainParks,0.3800473026174214,0.9355961056608291,5.186934999761411
trams,0.3191088375128285,0.9355961056608291,5.186934999761411
double,0.28406211516219687,0.9355961056608291,5.186934999761411
yearsOpen,0.2084176555203213,0.9355961056608291,5.186934999761411
fastEight,0.08423181391000735,0.9355961056608291,5.186934999761411
